###	N.B.: File summary located at bottom of TSV file.					Suggested command to download: 			cut -f 1 ./metadata_2023-10-04-17h-48m.tsv | tail -n +3 | grep -v ^# | xargs -n 1 curl -O -L --user <access_key_id>:<access_key_secret>
File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Related File Relationship	Related File	Paired End	File Status	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-processed/4DNFI8X3KYLH/@@download/4DNFI8X3KYLH.bed.gz	N/A	4DNEXFOFMNOT	4DNFI8X3KYLH	0.01	7183c9fce08ae837ae95defd5349f7a3	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	HFFc6 (Tier 1)	DamID-seq on HFFc6 cells (2017-12-14)	LaminB1-Dam	100 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7126a8fa-7bf8-41da-b7ee-8de760c1c4e0/4DNFI8X3KYLH.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI916VXLJ/@@download/4DNFI916VXLJ.bed.gz	N/A	4DNEXMM85GAT	4DNFI916VXLJ	0.00	a9daf2a74bf900055e892d785345fd93	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 1, Techrep 1	LMNB2 protein	RPE-hTERT (Tier 2)	pADamID on RPE	LaminB2 antibody - synchronized 10h after mitotic shakeoff	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e645924c-d78d-4133-987a-2eea0dd58570/4DNFI916VXLJ.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI94GQW7L/@@download/4DNFI94GQW7L.bed.gz	N/A	4DNEXXJO1T2A	4DNFI94GQW7L	0.00	b9a0a6ee4956f8d1699a1b732e1c644a	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	K562 (Tier 2)	DamID-seq on K562 cells (2018-10-22)	LaminB1-Dam	100 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fea37749-bfd6-417f-b72f-60cfdc10c012/4DNFI94GQW7L.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI94XO7C8/@@download/4DNFI94XO7C8.bed.gz	N/A	4DNEXFVTUSFT	4DNFI94XO7C8	0.00	4e408674c13edaba8c7c697b430e9ade	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 2, Techrep 1	LMNB2 protein	K562 (Tier 2)	pADamID on K562	LaminB2 antibody - G1 sorted cells	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/952be658-57ee-49ac-9278-5198e2889596/4DNFI94XO7C8.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI96PQSOP/@@download/4DNFI96PQSOP.bed.gz	N/A	4DNEXA4PHS8C	4DNFI96PQSOP	0.00	b87d6e95babd952542fd921e46b09b34	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 2, Techrep 1	LMNB1 protein	K562 (Tier 2)	pADamID on K562	LaminB1 antibody	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7bcd904e-c058-4c36-ba29-6bef05c73a22/4DNFI96PQSOP.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI989CTJ9/@@download/4DNFI989CTJ9.bed.gz	N/A	4DNEXBVLEO7Z	4DNFI989CTJ9	0.01	d99b40ed9eb759897eada2bbd9914902	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 1, Techrep 1	LMNB2 protein	RPE-hTERT (Tier 2)	pADamID on RPE	LaminB2 antibody - synchronized 21h after mitotic shakeoff	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8ab5b938-2da8-491a-9e62-d311a0120034/4DNFI989CTJ9.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI98VN7CV/@@download/4DNFI98VN7CV.bed.gz	4DNESII2Q1AV	N/A	4DNFI98VN7CV	0.03	53dee7b6616e23e2d9114e907772fe8e	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	N/A	K562 (Tier 2)	pADamID on K562	pADam-only control	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/36dbfa51-a44d-420f-8bd0-12c03df862df/4DNFI98VN7CV.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI9C85GBS/@@download/4DNFI9C85GBS.bed.gz	N/A	4DNEXVPBK9VK	4DNFI9C85GBS	0.01	fe0dd9c8e1cc6b21ddcb79f1a06552e1	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 1, Techrep 1	H3K27me3	K562 (Tier 2)	pADamID on K562	H3K27me3 antibody	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e12f98e6-8be8-420a-8d7b-42a0a25bbc7e/4DNFI9C85GBS.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI9F9PODO/@@download/4DNFI9F9PODO.bed.gz	4DNESVICLFBO	N/A	4DNFI9F9PODO	0.01	b25dc75c3cd820f4489115a201f44afb	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	LaminA/C protein	RPE-hTERT (Tier 2)	pADamID on RPE	LaminAC antibody - attached cells	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fcc22c6e-e962-4a68-93d6-27499df133cc/4DNFI9F9PODO.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI9GW22LV/@@download/4DNFI9GW22LV.bed.gz	4DNES24XA7U8	N/A	4DNFI9GW22LV	0.00	20d9cf471478dbfe80cc6fe6fada23eb	LADs	bed	N/A	N/A	N/A	released	DamID-seq	merged replicates	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	100 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/4063cd47-068f-4ea2-a433-54bad570e51a/4DNFI9GW22LV.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI9IJS237/@@download/4DNFI9IJS237.bed.gz	N/A	4DNEXFOFMNOT	4DNFI9IJS237	0.01	d0532b26b83babe6dcf7a41bb9d7586e	LADs	bed	N/A	N/A	N/A	archived	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	HFFc6 (Tier 1)	DamID-seq on HFFc6 cells (2017-12-14)	LaminB1-Dam	Archived Processed Files from Previous Pipeline Runs	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/5e4f9946-5761-44bd-aa06-026ed19ebc26/4DNFI9IJS237.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI9UPX3G3/@@download/4DNFI9UPX3G3.bed.gz	N/A	4DNEX7IU6V9M	4DNFI9UPX3G3	0.01	ce0abf3948524478b5ecd5bd68e5d78d	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	10 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2939ae55-b9e9-4709-bea2-b74491413669/4DNFI9UPX3G3.bed.gz
https://data.4dnucleome.org/files-processed/4DNFI9W6O3R7/@@download/4DNFI9W6O3R7.bed.gz	N/A	4DNEXRU64I1K	4DNFI9W6O3R7	0.00	2e05a8e793ef05d5fc4f733239a6db36	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 2, Techrep 1	N/A	HAP-1 (Tier 2)	pADamID on Hap1	pADam-only control	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/abaac7e5-9beb-4369-8f7e-1e9a51d1951e/4DNFI9W6O3R7.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIA1ZIQPW/@@download/4DNFIA1ZIQPW.bed.gz	4DNESLW3KNDU	N/A	4DNFIA1ZIQPW	0.00	41627feaba1e0414eeed81bd50489494	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	LMNB2 protein	RPE-hTERT (Tier 2)	pADamID on RPE	LaminB2 antibody	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1a2864a0-029d-45fc-b71e-5f873b4c54b7/4DNFIA1ZIQPW.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIA2LBQCD/@@download/4DNFIA2LBQCD.bed.gz	4DNES24XA7U8	N/A	4DNFIA2LBQCD	0.00	322b5fd34d82b8e03a34703e00fb05fe	LADs	bed	N/A	N/A	N/A	released	DamID-seq	merged replicates	LMNB1 protein	HCT116 (Tier 2)	DamID-seq on HCT116 cells (2018-10-22)	LaminB1-Dam	50 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3f091453-c811-4ca8-b787-a2825cb93fcc/4DNFIA2LBQCD.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIA5CHLHD/@@download/4DNFIA5CHLHD.bed.gz	N/A	4DNEXMST3CDE	4DNFIA5CHLHD	0.00	925794f12d28e8bb05aa25dca777d4a9	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	H1-hESC (Tier 1)	DamID-seq on H1-hESC cells (2017-12-14)	LaminB1-Dam	250 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a9802b54-3836-4cc1-a343-174b799bfe11/4DNFIA5CHLHD.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIA5INDE5/@@download/4DNFIA5INDE5.bed.gz	4DNESRCO6CCS	N/A	4DNFIA5INDE5	0.00	31e5125861a7d70efe5dc65a4c11db76	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	LMNB2 protein	RPE-hTERT (Tier 2)	pADamID on RPE	LaminB2 antibody - synchronized 21h after mitotic shakeoff	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b6184371-babf-48ef-a308-863e438f64f3/4DNFIA5INDE5.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIA5OS78K/@@download/4DNFIA5OS78K.bed.gz	N/A	4DNEXXJO1T2A	4DNFIA5OS78K	0.01	4d56ea23322fdfe6e362ac00c0f7f031	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	K562 (Tier 2)	DamID-seq on K562 cells (2018-10-22)	LaminB1-Dam	2 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fe3b12e3-5245-4a73-857f-acbb9fa4fb4a/4DNFIA5OS78K.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIABD95PM/@@download/4DNFIABD95PM.bed.gz	N/A	4DNEXUJUPQ4D	4DNFIABD95PM	0.01	9f86ca1cc3f58fcff39826ce7a7946ce	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	RPE-hTERT (Tier 2)	DamID-seq on RPE cells (2018-10-22)	LaminB1-Dam	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8b965364-3a78-406e-b9fc-5c7895bee714/4DNFIABD95PM.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIABE244T/@@download/4DNFIABE244T.bed.gz	N/A	4DNEX6DLLPDY	4DNFIABE244T	0.40	f839d88cd7300fe65a43e4b6180118dd	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 2, Techrep 1	N/A	K562 (Tier 2)	pADamID on K562	pADam-only control	5kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/061c40ab-e28c-46c9-a8a9-65c1de285dd9/4DNFIABE244T.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIAH1X1JX/@@download/4DNFIAH1X1JX.bed.gz	N/A	4DNEXR716AG4	4DNFIAH1X1JX	0.00	1c02c04b2852be6b6bf058aa229e809c	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 1, Techrep 1	LMNB1 protein	H1-hESC (Tier 1)	DamID-seq on H1-hESC cells (2017-12-14)	LaminB1-Dam	25 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2f3a81c3-553c-44b3-9431-4b7e4b5a0e7b/4DNFIAH1X1JX.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIAH8A2RJ/@@download/4DNFIAH8A2RJ.bed.gz	N/A	4DNEXTTYNWII	4DNFIAH8A2RJ	0.02	c04ecbfad5a162cf01c90a1ca9c7d421	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 3, Techrep 1	LMNB1 protein	H1-hESC (Tier 1)	DamID-seq on H1-hESC cells (2017-12-14)	LaminB1-Dam	1 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/76450ea8-d15c-4572-ace8-a7ea947de5a8/4DNFIAH8A2RJ.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIAI9PXPJ/@@download/4DNFIAI9PXPJ.bed.gz	N/A	4DNEXJ6SOGOE	4DNFIAI9PXPJ	0.01	63e5b3c977471db3f245c33eadf953e6	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 1, Techrep 1	LMNB1 protein	RPE-hTERT (Tier 2)	pADamID on RPE	LaminB1 antibody	5kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/92381496-d6f2-454d-a578-dda08c520040/4DNFIAI9PXPJ.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIAKHEPJW/@@download/4DNFIAKHEPJW.bed.gz	N/A	4DNEXQYVLN5A	4DNFIAKHEPJW	0.00	65c07e961a20befc71bec0a1d5f7aff9	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 2, Techrep 1	LMNB2 protein	HCT116 (Tier 2)	pADamID on HCT116	LaminB2 antibody - S sorted cells	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/457e320c-3748-471a-a3ed-c6fb5b39ca24/4DNFIAKHEPJW.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIAMGZQSH/@@download/4DNFIAMGZQSH.bed.gz	N/A	4DNEXKLIFH2Z	4DNFIAMGZQSH	0.01	de0d109df73144e5171453a6bd3aae14	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 2, Techrep 1	Lmnb1 mouse protein	F121-9-CASTx129 (Tier 2)	DamID-seq on F121-9 cells (2018-10-22)	LaminB1-Dam	20 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f152c2bc-2cd9-41c1-9e56-b17b91f527d4/4DNFIAMGZQSH.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIANKMLK7/@@download/4DNFIANKMLK7.bed.gz	4DNESUK5H9Y8	N/A	4DNFIANKMLK7	0.01	d423407a2795e143a0a16443875c8ada	LADs	bed	N/A	N/A	N/A	released	DamID-seq	merged replicates	LMNB1 protein	HAP-1 (Tier 2)	DamID-seq on HAP-1 cells (2018-10-22)	LaminB1-Dam	25 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e707cf21-aaf0-43d8-b70e-c76c4e617d00/4DNFIANKMLK7.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIAQ3BT9Q/@@download/4DNFIAQ3BT9Q.bed.gz	4DNESENITEIC	N/A	4DNFIAQ3BT9Q	0.00	0f614f3b1ae3aed445224b18ff7fee4b	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	LMNB1 protein	RPE-hTERT (Tier 2)	pADamID on RPE	LaminB1 antibody	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fe478751-021a-4940-90fd-708698256548/4DNFIAQ3BT9Q.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIARGGOQK/@@download/4DNFIARGGOQK.bed.gz	N/A	4DNEXPQ588PU	4DNFIARGGOQK	0.02	e2571371cc44bf7a077d84bf2af53e37	LADs	bed	N/A	N/A	N/A	released	pA-DamID	Biorep 2, Techrep 1	H3K27me3	K562 (Tier 2)	pADamID on K562	H3K27me3 antibody	5kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c19a0b21-a927-4605-8589-82be014be5a6/4DNFIARGGOQK.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIAVNSKCI/@@download/4DNFIAVNSKCI.bed.gz	4DNES8QBIVAU	N/A	4DNFIAVNSKCI	0.09	97bed65c789267c5b2e7135cf625af78	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	N/A	HCT116 (Tier 2)	pADamID on HCT116	pADam-only control	processed file	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1df32cfd-e3e2-44fb-a117-ea3d69c9eef6/4DNFIAVNSKCI.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIAWP1935/@@download/4DNFIAWP1935.bed.gz	N/A	4DNEXMST3CDE	4DNFIAWP1935	0.00	d2a57c2a6b9cb7792b3fdf5d1d29f451	LADs	bed	N/A	N/A	N/A	released	DamID-seq	Biorep 2, Techrep 1	LMNB1 protein	H1-hESC (Tier 1)	DamID-seq on H1-hESC cells (2017-12-14)	LaminB1-Dam	25 kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7601d9a0-34de-477c-b7e5-6ac26f1a855f/4DNFIAWP1935.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIAYEWV2I/@@download/4DNFIAYEWV2I.bed.gz	4DNES8QBIVAU	N/A	4DNFIAYEWV2I	0.00	50698b0b921792ca2cd322d297d9467c	LADs	bed	N/A	N/A	N/A	released	pA-DamID	merged replicates	N/A	HCT116 (Tier 2)	pADamID on HCT116	pADam-only control	80kb binned files	Bas van Steensel, NKI	Bas van Steensel, NKI	N/A	This file contains processed results performed outside of the 4DN-DCIC standardized pipelines. The file and the information about its provenance, i.e. which files were used as input to generate this output was provided by or done in collaboration with the lab that did the experiments to generate the raw data. For more information about the specific analysis performed, please contact the submitting lab or refer to the relevant publication if available.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e8ce839c-ce56-4261-8de0-cd2b9667cba0/4DNFIAYEWV2I.bed.gz
